Name,Average Sleep Quality (0-1),Average Sleep Duration (Hours),SES,gdppc,Air Pollution (PM 2.5)
Canada,0.7706280786149319,7.56,93.772118,40699.355,6.04
Colombia,0.7297271999818904,7.12,59.636009,10900.504,16.23
India,0.7060974741852611,6.97,22.542639,4404.5376,41.39
Israel,0.7406121077804889,7.23,86.517677,29599.793,14.32
Sweden,0.786575637584524,7.69,91.959633,42942.563,4.86
Spain,0.7463068766806128,7.46,85.359718,32506.434,7.5
Denmark,0.7805887441011539,7.65,88.418976,43757.738,7.08
Greece,0.7294259051083085,7.57,85.653824,28726.08,12.56
Slovakia,0.766138323309533,7.5,86.117645,25159.078,12.1
Estonia,0.7879212836611542,7.67,87.317307,22740.965,5.61
Saudi Arabia,0.7222500017353679,6.98,83.356682,44246.82,27.5
Chile,0.7514592237019664,7.33,82.043282,19357.473,22.84
Ireland,0.7687062681101102,7.58,93.44828,45661.469,5.41
Latvia,0.7607210752692456,7.35,83.01342,18251.008,12.14
Brazil,0.7335149344793749,7.22,61.067955,14405.931,12.06
Hong Kong,0.7231539247786948,7.06,89.249359,48107.727,
Philippines,0.7187078655579713,7.12,57.296577,5638.2075,19.17
Austria,0.765098808404425,7.56,87.227364,43174.977,9.52
Ecuador,0.7317205678387934,7.27,48.91156,9352.3428,18.32
South Africa,0.7852573886033805,7.69,71.227959,12028.934,23.26
"Taiwan, Province of China",0.7091213129759898,7.02,,,
Singapore,0.728731248985164,7.13,89.22805,72017.906,13.89
United Arab Emirates,0.751284125575398,7.34,89.092285,57406.738,20.71
Romania,0.7585895055613077,7.4,81.71167,17818.018,13.67
Indonesia,0.7519785188331808,7.4,41.214973,8465.2959,18.25
Ukraine,0.7544192926286428,7.48,64.423592,7824.4985,10.81
Morocco,0.6817157037534971,6.9,25.457148,6496.6069,7.06
Australia,0.7975296425010845,7.82,94.268761,41363.215,3.36
United States,0.7719623194754963,7.63,97.464378,49372.832,6.91
Italy,0.7454585474057298,7.37,85.016357,36201.16,13.11
Switzerland,0.7751397026697039,7.59,91.012245,55541.672,8.73
France,0.7709293862977363,7.68,88.194969,36872.227,8.45
Norway,0.7802273027811757,7.63,97.551964,62268.012,4.88
Finland,0.7889544785419315,7.76,87.093582,39848.133,4.37
Luxembourg,0.7752480667422028,7.7,91.404564,89727.039,8.0
"Korea, Republic of",0.6876124154882021,6.75,,,
Namibia,0.7517593401525708,7.44,39.113663,8381.8838,14.49
New Zealand,0.804231395437054,7.91,90.69915,32188.207,3.69
Turkey,0.7292373823443323,7.19,60.248875,17076.605,21.1
Egypt,0.6958473824116839,6.94,55.775925,10102.101,19.16
Czech Republic,0.7661859548955687,7.48,89.972534,28289.889,11.49
Costa Rica,0.7464607124412648,7.32,72.739906,13000.013,12.63
Thailand,0.7401629071393249,7.27,59.099377,13584.209,21.15
Portugal,0.7458363215310088,7.48,68.019989,27238.461,5.67
Malaysia,0.7164599431717956,6.99,82.217072,21101.879,13.31
Belgium,0.7768397992527384,7.69,89.668945,41086.551,8.82
China,0.7363988562233973,7.24,58.952156,9525.8193,28.18
Germany,0.7679812259026695,7.57,92.546394,40428.723,8.51
Russian Federation,0.7639564754228453,7.43,,,
Netherlands,0.7956987929083688,7.84,90.62513,45524.664,8.49
Argentina,0.7371334757494741,7.35,79.750809,18794.27,12.44
Croatia,0.7516987950708812,7.53,78.641861,20118.156,14.15
Poland,0.7528569036977074,7.32,81.966171,21770.619,14.09
Viet Nam,0.713860340770834,6.99,,,
Hungary,0.7588263666669586,7.41,87.218033,22277.373,11.93
Lithuania,0.7716118402518762,7.51,83.806778,21061.986,9.53
Mexico,0.7230707120712462,7.15,76.681602,15364.872,15.64
Cyprus,0.7502196809844399,7.52,84.794022,33941.285,14.68
Japan,0.6784701596828577,6.73,89.416603,35749.77,11.26
United Kingdom,0.7840466475722139,7.77,85.16819,36195.867,8.28
Peru,0.7117202666169559,6.99,71.429535,9956.5576,25.48
Bulgaria,0.7556010615150265,7.44,78.304153,15283.246,18.86
